样本编号,样本类别,OTSU法含油百分比
1,深灰色泥岩,0.022649007161458335
2,黑色煤,0.0021847330729166665
3,深灰色泥岩,0.0345068359375
4,灰色细砂岩,0.26602978515625
5,浅灰色细砂岩,0.08622444661458334
6,浅灰色细砂岩,0.05606290690104167
8,深灰色泥岩,0.011584879557291667
9,浅灰色细砂岩,0.017452799479166666
10,深灰色泥岩,0.0007074381510416667
12,深灰色粉砂质泥岩,0.03273291015625
13,深灰色泥岩,0.0024746907552083332
14,灰黑色泥岩,0.27090779622395833
15,深灰色泥岩,0.00034749348958333333
16,浅灰色细砂岩,0.024410319010416667
17,灰色泥质粉砂岩,0.00034130859375
18,灰黑色泥岩,0.16222493489583334
19,浅灰色细砂岩,0.13338232421875
20,深灰色泥岩,0.0003382161458333333
21,灰黑色泥岩,0.000550537109375
22,灰色泥质粉砂岩,0.014453531901041667
23,灰色细砂岩,0.26965470377604167
25,深灰色泥岩,0.0032987467447916667
26,浅灰色细砂岩,0.050562174479166666
27,浅灰色细砂岩,0.0420478515625
28,灰色细砂岩,0.28073787434895836
29,深灰色泥岩,0.022284586588541665
30,灰色泥质粉砂岩,0.09942496744791667
31,浅灰色细砂岩,0.012993815104166667
33,深灰色粉砂质泥岩,0.03178499348958334
34,灰色细砂岩,0.32824568684895833
35,灰色细砂岩,0.2969603678385417
36,深灰色泥岩,0.020292236328125
37,灰色泥质粉砂岩,0.13217561848958334
38,深灰色泥岩,0.025164469401041667
39,灰色泥质粉砂岩,0.00036800130208333335
40,灰黑色泥岩,0.027464436848958333
41,浅灰色细砂岩,0.025654622395833333
42,灰黑色泥岩,0.015642252604166667
43,深灰色泥岩,0.0003682454427083333
44,灰色泥质粉砂岩,0.03394913736979167
45,深灰色泥岩,0.05649007161458333
46,浅灰色细砂岩,0.044141438802083335
47,深灰色粉砂质泥岩,0.0004278157552083333
48,灰色泥质粉砂岩,0.30796500651041664
49,深灰色粉砂质泥岩,0.013260904947916667
50,浅灰色细砂岩,0.03449837239583333
51,灰黑色泥岩,0.21325569661458332
52,深灰色泥岩,0.024692220052083335
53,灰黑色泥岩,0.07844124348958334
54,深灰色泥岩,0.00032576497395833334
55,灰色泥质粉砂岩,0.094708251953125
56,深灰色粉砂质泥岩,0.0004025065104166667
57,深灰色粉砂质泥岩,0.00108251953125
58,浅灰色细砂岩,0.049315673828125
60,浅灰色细砂岩,0.3027451171875
61,深灰色粉砂质泥岩,0.025756591796875
62,深灰色粉砂质泥岩,0.039300048828125
63,深灰色泥岩,0.0003466796875
64,灰色泥质粉砂岩,0.09251627604166666
65,深灰色泥岩,0.0009142252604166667
66,黑色煤,0.00660400390625
67,深灰色泥岩,0.03899178059895833
68,深灰色粉砂质泥岩,0.03366170247395833
69,浅灰色细砂岩,0.28234724934895833
71,浅灰色细砂岩,0.0373212890625
72,浅灰色细砂岩,0.093115234375
73,深灰色粉砂质泥岩,0.030824137369791667
74,灰色泥质粉砂岩,0.192609375
75,浅灰色细砂岩,0.07851481119791667
76,灰黑色泥岩,0.14900081380208333
77,浅灰色细砂岩,0.033512858072916665
78,深灰色粉砂质泥岩,0.09757210286458333
79,黑色煤,0.00034187825520833336
80,浅灰色细砂岩,0.0003788248697916667
81,深灰色粉砂质泥岩,0.00039021809895833335
82,浅灰色细砂岩,0.000334228515625
83,黑色煤,0.04031453450520833
84,深灰色粉砂质泥岩,0.06164957682291667
85,黑色煤,0.0007351888020833334
86,浅灰色细砂岩,0.06647810872395833
87,深灰色粉砂质泥岩,0.04693253580729167
88,灰色泥质粉砂岩,0.04004866536458333
89,深灰色泥岩,0.016112955729166666
90,深灰色粉砂质泥岩,0.0182197265625
91,深灰色粉砂质泥岩,0.17315177408854165
92,灰色泥质粉砂岩,0.00038289388020833334
93,灰黑色泥岩,0.019916259765625
94,灰色泥质粉砂岩,0.025177001953125
95,灰色细砂岩,0.3427071126302083
96,灰色细砂岩,0.167385986328125
97,深灰色粉砂质泥岩,0.32982283528645834
98,黑色煤,0.00644287109375
99,深灰色泥岩,0.032168701171875
100,浅灰色细砂岩,0.000381591796875
101,灰色泥质粉砂岩,0.0008661295572916667
102,灰黑色泥岩,0.244903564453125
103,深灰色泥岩,0.03335164388020833
104,黑色煤,0.00036116536458333335
105,深灰色泥岩,0.02054402669270833
106,灰色泥质粉砂岩,0.010068684895833332
107,浅灰色细砂岩,0.051917643229166664
108,深灰色粉砂质泥岩,0.021454508463541667
109,深灰色泥岩,0.000366943359375
111,深灰色泥岩,0.0004462890625
112,深灰色泥岩,0.00046525065104166666
113,浅灰色细砂岩,0.049429931640625
114,浅灰色细砂岩,0.000366943359375
116,灰黑色泥岩,0.05971638997395833
118,浅灰色细砂岩,0.04251066080729167
119,灰色泥质粉砂岩,0.00038427734375
120,浅灰色细砂岩,0.00037044270833333336
121,浅灰色细砂岩,0.028049397786458333
122,灰色细砂岩,0.342124267578125
123,灰黑色泥岩,0.052213053385416666
124,浅灰色细砂岩,0.0383720703125
125,浅灰色细砂岩,0.08439347330729166
126,深灰色泥岩,0.00044287109375
127,深灰色粉砂质泥岩,0.0063759765625
129,浅灰色细砂岩,0.09400748697916667
130,深灰色粉砂质泥岩,0.225027099609375
132,深灰色泥岩,0.031184000651041665
133,浅灰色细砂岩,0.09574259440104167
134,灰色细砂岩,0.46901708984375
135,灰色细砂岩,0.28097916666666667
136,深灰色粉砂质泥岩,0.000380615234375
137,深灰色粉砂质泥岩,0.199882080078125
138,深灰色泥岩,0.00036263020833333335
140,浅灰色细砂岩,0.0369482421875
141,浅灰色细砂岩,0.07481111653645833
142,灰色细砂岩,0.42862858072916665
143,浅灰色细砂岩,0.05673453776041667
144,灰黑色泥岩,0.026959798177083334
145,灰黑色泥岩,0.25430094401041664
146,深灰色泥岩,0.026041748046875
147,灰黑色泥岩,0.018558268229166668
148,灰色泥质粉砂岩,0.047766276041666667
149,浅灰色细砂岩,0.04598046875
150,深灰色粉砂质泥岩,0.0005598958333333334
151,深灰色粉砂质泥岩,0.020658772786458335
152,深灰色泥岩,0.00038151041666666666
153,深灰色粉砂质泥岩,0.000420166015625
154,深灰色泥岩,0.026262369791666667
155,深灰色粉砂质泥岩,0.06168448893229167
156,浅灰色细砂岩,0.019516520182291667
157,浅灰色细砂岩,0.10281803385416667
158,深灰色粉砂质泥岩,0.0006919759114583333
159,深灰色泥岩,0.022556884765625
160,灰色泥质粉砂岩,0.00038297526041666666
161,浅灰色细砂岩,0.0003754069010416667
162,浅灰色细砂岩,0.05947176106770833
163,灰色泥质粉砂岩,0.19694230143229166
164,深灰色泥岩,0.03314208984375
165,灰黑色泥岩,0.24182568359375
166,深灰色泥岩,0.000405029296875
167,浅灰色细砂岩,0.05558634440104167
168,灰色泥质粉砂岩,0.22823331705729166
169,浅灰色细砂岩,0.0003682454427083333
170,灰色泥质粉砂岩,0.021449055989583334
171,深灰色泥岩,0.022225748697916665
172,浅灰色细砂岩,0.029301188151041668
174,灰黑色泥岩,0.084209716796875
176,浅灰色细砂岩,0.02987548828125
177,深灰色泥岩,0.0003778483072916667
178,浅灰色细砂岩,0.073129150390625
179,灰黑色泥岩,0.028646402994791667
180,灰色泥质粉砂岩,0.005818929036458333
181,灰色泥质粉砂岩,0.027953694661458334
182,浅灰色细砂岩,0.07916398111979167
183,灰色泥质粉砂岩,0.010128824869791667
184,深灰色泥岩,0.00036018880208333335
185,灰色泥质粉砂岩,0.0030709635416666667
186,灰色泥质粉砂岩,0.05476790364583333
187,深灰色粉砂质泥岩,0.002154052734375
188,深灰色粉砂质泥岩,0.268044677734375
189,灰色泥质粉砂岩,0.016060953776041668
190,深灰色泥岩,0.0003502604166666667
192,浅灰色细砂岩,0.018005533854166665
193,黑色煤,0.0038477376302083334
194,浅灰色细砂岩,0.03598429361979167
195,浅灰色细砂岩,0.03628068033854167
196,浅灰色细砂岩,0.04994677734375
197,灰黑色泥岩,0.271073974609375
198,灰黑色泥岩,0.010924479166666667
199,黑色煤,0.007941650390625
200,深灰色泥岩,0.00034814453125
201,深灰色泥岩,0.000347900390625
202,灰色泥质粉砂岩,0.00030924479166666665
204,灰黑色泥岩,0.02258740234375
206,灰色细砂岩,0.21051692708333333
207,黑色煤,0.00044539388020833334
208,灰色泥质粉砂岩,0.00037255859375
209,灰色泥质粉砂岩,0.3098133138020833
210,浅灰色细砂岩,0.000481689453125
211,深灰色粉砂质泥岩,0.009561767578125
212,深灰色粉砂质泥岩,0.029847493489583335
213,深灰色泥岩,0.00034025065104166665
214,浅灰色细砂岩,0.03772469075520833
215,灰色细砂岩,0.361451171875
216,深灰色泥岩,0.017533284505208333
217,深灰色泥岩,0.017731526692708333
218,浅灰色细砂岩,0.09445540364583334
219,灰黑色泥岩,0.013936930338541667
220,深灰色泥岩,0.04496598307291667
221,灰黑色泥岩,0.0004268391927083333
222,灰黑色泥岩,0.011418619791666666
223,深灰色泥岩,0.034217122395833334
224,灰色泥质粉砂岩,0.0518046875
225,灰黑色泥岩,0.22963387044270833
226,浅灰色细砂岩,0.045597900390625
227,灰色细砂岩,0.42979248046875
228,浅灰色细砂岩,0.043233235677083336
229,灰色泥质粉砂岩,0.03194523111979167
230,灰色泥质粉砂岩,0.00034334309895833336
231,浅灰色细砂岩,0.047951822916666664
232,灰色泥质粉砂岩,0.025396402994791668
233,浅灰色细砂岩,0.051966959635416664
234,灰色泥质粉砂岩,0.04986669921875
235,浅灰色细砂岩,0.06926383463541666
236,浅灰色细砂岩,0.000381103515625
237,灰色细砂岩,0.39342545572916665
238,深灰色泥岩,0.048222086588541664
239,深灰色泥岩,0.023749918619791668
240,浅灰色细砂岩,0.05498876953125
242,黑色煤,0.00327587890625
243,深灰色泥岩,0.0026387532552083334
244,深灰色泥岩,0.024947347005208332
245,浅灰色细砂岩,0.042888997395833336
246,灰黑色泥岩,0.006898030598958334
247,浅灰色细砂岩,0.06661710611979167
248,灰色细砂岩,0.41632763671875
249,浅灰色细砂岩,0.06608943684895834
250,灰色泥质粉砂岩,0.006427815755208333
251,灰色泥质粉砂岩,0.033569580078125
253,黑色煤,0.0004029947916666667
254,黑色煤,0.00042626953125
255,灰色泥质粉砂岩,0.065513671875
256,深灰色粉砂质泥岩,0.003861083984375
257,灰黑色泥岩,0.005943359375
258,灰色泥质粉砂岩,0.000343994140625
260,深灰色泥岩,0.0007593587239583333
261,深灰色粉砂质泥岩,0.04812361653645833
262,黑色煤,0.07222786458333333
263,浅灰色细砂岩,0.05851009114583333
266,灰色泥质粉砂岩,0.0007677408854166667
267,灰色泥质粉砂岩,0.008516438802083333
268,深灰色泥岩,0.00045231119791666667
269,深灰色泥岩,0.000379150390625
270,深灰色粉砂质泥岩,0.3984527180989583
271,深灰色泥岩,0.00045906575520833335
272,浅灰色细砂岩,0.029463297526041668
273,浅灰色细砂岩,0.03327408854166667
275,深灰色粉砂质泥岩,0.00038883463541666667
276,浅灰色细砂岩,0.039082926432291665
277,深灰色粉砂质泥岩,0.00036181640625
278,深灰色泥岩,0.021041585286458334
279,灰色泥质粉砂岩,0.071650390625
280,灰色细砂岩,0.40337019856770834
281,深灰色泥岩,0.0003525390625
282,灰色泥质粉砂岩,0.029630533854166665
283,深灰色粉砂质泥岩,0.004944010416666667
284,深灰色粉砂质泥岩,0.36892919921875
285,浅灰色细砂岩,0.00030582682291666665
287,浅灰色细砂岩,0.06128141276041667
289,深灰色泥岩,0.0004994303385416666
290,浅灰色细砂岩,0.00036490885416666665
291,深灰色泥岩,0.0003793131510416667
292,深灰色泥岩,0.0003818359375
293,浅灰色细砂岩,0.029336751302083332
294,深灰色粉砂质泥岩,0.0004951985677083333
295,黑色煤,0.0007080891927083333
296,灰色泥质粉砂岩,0.134167236328125
297,灰黑色泥岩,0.00043180338541666665
298,深灰色泥岩,0.01236181640625
299,黑色煤,0.003946533203125
302,灰色细砂岩,0.3898427734375
303,深灰色泥岩,0.024271077473958333
304,浅灰色细砂岩,0.0003778483072916667
305,黑色煤,0.0004242350260416667
306,深灰色泥岩,0.014582275390625
309,灰黑色泥岩,0.00037898763020833334
310,深灰色泥岩,0.038953206380208334
311,灰黑色泥岩,0.262480712890625
313,深灰色泥岩,0.01248046875
314,灰色泥质粉砂岩,0.01905322265625
315,深灰色粉砂质泥岩,0.04527164713541667
316,黑色煤,0.0004630533854166667
317,浅灰色细砂岩,0.09294173177083333
318,灰色泥质粉砂岩,0.00036897786458333335
319,浅灰色细砂岩,0.036821044921875
322,深灰色泥岩,0.3868623621323529
323,浅灰色细砂岩,0.43271931168300654
324,深灰色泥岩,0.43414506101919936
325,深灰色泥岩,0.37388939950980393
326,黑色煤,0.28195349998723446
327,浅灰色细砂岩,0.37855080997242646
329,浅灰色细砂岩,0.407641641454759
330,浅灰色细砂岩,0.43662217084099264
331,黑色煤,0.3454613779105392
333,深灰色泥岩,0.410025004467933
334,深灰色泥岩,0.4464586046006944
335,深灰色泥岩,0.4194818633833742
336,浅灰色细砂岩,0.41770147186478757
337,浅灰色细砂岩,0.3846545250587214
338,浅灰色细砂岩,0.37601665422028185
339,黑色煤,0.3985440123314951
340,深灰色泥岩,0.4916144476996528
341,深灰色泥岩,0.3662618001302083
342,浅灰色细砂岩,0.3584722381791258
343,深灰色泥岩,0.4224624135135825
344,深灰色泥岩,0.35200370838439543
346,浅灰色细砂岩,0.4006934072457108
347,深灰色泥岩,0.44188615387561275
348,深灰色泥岩,0.42800604128370096
349,浅灰色细砂岩,0.34840383093341504
350,浅灰色细砂岩,0.40708514444189137
